ISBN,상품명,저자,출판사,분야,권수,누적권수
9791160560589,어떻게 민주주의는 무너지는가 - 우리가 놓치는 민주주의 위기 신호,"스티븐 레비츠키, 대니얼 지블랫 (지은이), 박세연 (옮긴이)",어크로스,국내도서>사회과학>정치학/외교학/행정학>정치학 일반,1.0,814.0
9791169663557,2025 써니 행정법총론 단원별 모의고사 - 전2권,박준철 (지은이),에스티유니타스,국내도서>수험서/자격증>공무원 수험서>7/9급 공무원>행정법>기출/문제집/모의고사,1.0,815.0
9791199040311,살아갈 날들을 위한 괴테의 시,김종원 (지은이),퍼스트펭귄,국내도서>자기계발>성공>성공학,1.0,816.0
9788937464614,사랑에 대하여,"안톤 파블로비치 체호프 (지은이), 이항재 (옮긴이)",민음사,국내도서>소설/시/희곡>러시아소설,1.0,817.0
9791168342590,마천대루,"천쉐 (지은이), 허유영 (옮긴이)",인플루엔셜(주),국내도서>소설/시/희곡>추리/미스터리소설>기타국가 추리/미스터리소설,1.0,818.0
9788954695978,"설자은, 금성으로 돌아오다",정세랑 (지은이),문학동네,국내도서>소설/시/희곡>역사소설>한국 역사소설,1.0,819.0
9791194033455,더 나은 어휘를 쓰고 싶은 당신을 위한 필사책,이주윤 (지은이),빅피시,국내도서>인문학>책읽기/글쓰기>글쓰기,1.0,820.0
9791189356934,자살,"에두아르 르베 (지은이), 한국화 (옮긴이)",워크룸프레스(Workroom),국내도서>소설/시/희곡>프랑스소설,1.0,821.0
9791193388075,나는 왜 남들보다 쉽게 지칠까 - 무던해 보이지만 누구보다 예민한 HSP를 위한 심리학,최재훈 (지은이),서스테인,국내도서>인문학>심리학/정신분석학>교양 심리학,1.0,822.0
9791169663588,2025 이동기 영어 신경향 실전동형 모의고사 Vol.1 - 공무원 영어의 시작과 끝,이동기 (지은이),에스티유니타스,국내도서>수험서/자격증>공무원 수험서>7/9급 공무원>영어>기출/문제/모의고사,1.0,823.0
9791138920025,2024.2025 큰별쌤 최태성의 별별한국사 시대별 기출문제집 한국사능력검정시험 심화(1.2.3급),최태성 (지은이),이투스북,"국내도서>수험서/자격증>한국사능력검정시험>심화(1,2,3급)",2.0,825.0
9788935678907,금지된 일기장,"알바 데 세스페데스 (지은이), 김지우 (옮긴이)",한길사,국내도서>소설/시/희곡>세계의 소설>이탈리아소설,1.0,826.0
9791160643251,월 50만 원으로 8억 만드는 배당머신,"평온, 김지형 (지은이)",이나우스북스,국내도서>경제경영>재테크/투자>주식/펀드,1.0,827.0
9788954693462,디 에센셜 한강 (무선 보급판) - 2024 노벨문학상 수상작가,한강 (지은이),문학동네,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,1.0,828.0
9788937460586,싯다르타,"헤르만 헤세 (지은이), 박병덕 (옮긴이)",민음사,국내도서>소설/시/희곡>독일소설,2.0,830.0
9791130657462,어두울 때에야 보이는 것들이 있습니다 - 슈테판 츠바이크의 마지막 수업,"슈테판 츠바이크 (지은이), 배명자 (옮긴이)",다산초당,국내도서>인문학>인문 에세이,1.0,831.0
9791190302319,2025 선재국어 실전 봉투 모의고사 1 출발선 - 인혁처 신유형에 꼭 맞춘 모의고사,이선재 (지은이),수비니겨,국내도서>수험서/자격증>공무원 수험서>7/9급 공무원>국어>기출/문제집/모의고사,1.0,832.0
9791168181953,2025 이유진 국어 백일기도 모의고사 시즌 1 : 承(승),이유진 (지은이),고시동네,국내도서>수험서/자격증>공무원 수험서>7/9급 공무원>국어>기출/문제집/모의고사,1.0,833.0
9788965427483,해커스 토익 실전 LC + RC 3 (모의고사 문제집 + 해설집) - 2024년 하반기 출제경향 완벽반영｜리스닝 5회분+리딩 5회분｜교재 실전용+복습용 MP3｜토익 학습 어플 빅플｜단어암기장(PDF) 제공,해커스어학연구소 (지은이),해커스어학연구소(Hackers),국내도서>외국어>토익>실전,1.0,834.0
